ID,Country,Region,City,Chinese Name
2171,Kazakhstan,Kostanay Province,Rudniy,Not Found
2172,Kazakhstan,Almaty Province,Taldykorgan,塔爾迪庫干
2173,-,-,-,
2174,Belarus,Vitebsk Region,Vitebsk,維帖布斯克
2175,Belarus,Hrodna Region,Lida,利達
2176,Belarus,Brest Region,Baranovichi,巴拉諾維奇
2177,Belarus,Brest Region,Pinsk,平斯克
2178,Belarus,Minsk Region,Soligorsk,Not Found
2179,Belarus,Minsk Region,Barysaw,巴里紹(波里索夫)
2180,Brazil,Rio Grande do Sul,Uruguaiana,烏魯瓜雅納
2181,Brazil,Espírito Santo,Vitória,維托利亞
2182,Côte d'Ivoire,Bas-Sassandra,San-Pédro,聖佩德羅
2183,Namibia,||Karas Region,Karasburg,卡拉斯堡
2184,Hungary,-,-,
2185,India,Tamil Nadu,Vellore,維洛爾
2186,Namibia,Otjozondjupa Region,Okahandja,奧卡罕加
2187,Namibia,Erongo Region,Karibib,Not Found
2188,China,Xinjiang,Yining,Not Found
2189,Mauritius,Port Louis,Port Louis,路易士港
2190,Swaziland,Sifundza seHhohho,Mbabane,姆巴巴內(墨巴本)
2191,Brazil,Goiás,Goiânia,哥亞尼亞
2192,Brazil,Sergipe,Aracaju,阿拉加左
2193,Brazil,Alagoas,Maceió,馬瑟歐
2194,Japan,Saitama,Saitama,Not Found
2195,Pakistan,Punjab,Sargodha,Not Found
2196,Pakistan,Punjab,Chiniot,奇尼歐特
2197,China,Xinjiang,Aksu,阿克蘇
2198,China,Hebei,Anguo,Not Found
2199,China,Shaanxi,Ankang,Not Found
2200,China,Hubei,Anlu,Not Found
2201,China,Yunnan,Anning,Not Found
2202,China,Shandong,Anqiu,Not Found
2203,China,Anhui,Anqing,Not Found
2204,China,Guizhou,Anshun,Not Found
2205,China,Liaoning,Anshan,Not Found
2206,China,Henan,Anyang,安養
2207,China,Xinjiang,Artux,Not Found
2208,China,Jilin,Baicheng,Not Found
2209,China,Gansu,Baiyin,Not Found
2210,China,Inner Mongolia,Baotou,Not Found
2211,China,Shaanxi,Baoji,Not Found
2212,China,Hebei,Bazhou,Not Found
2213,China,Guangxi,Beihai,Not Found
2214,China,Inner Mongolia,Bayannur,Not Found
2215,China,Liaoning,Benxi,Not Found
2216,China,Liaoning,Beizhen,Not Found
2217,China,Anhui,Bengbu,Not Found
2218,China,Liaoning,Beipiao,Not Found
2219,-,-,-,
2220,China,Xinjiang,Bortala,Not Found
2221,China,Shandong,Binzhou,Not Found
2222,-,-,-,
2223,China,Guangxi,Baise,貝伊斯河
2224,China,Hebei,Cangzhou,Not Found
2225,China,Henan,Changge,Not Found
2226,-,-,-,
2227,China,Jilin,Changchun,Not Found
2228,China,Hunan,Changde,Not Found
2229,China,Hunan,Changning,Not Found
2230,China,Liaoning,Chaoyang,Not Found
2231,China,Guangdong,Chaozhou,Not Found
2232,China,Shandong,Changyi,Not Found
2233,China,Jiangsu,Changzhou,Not Found
2234,China,Anhui,Chaohu,Not Found
2235,China,Shanxi,Changzhi,Not Found
2236,China,Hunan,Chenzhou,Not Found
2237,China,Inner Mongolia,Chifeng,Not Found
2238,China,Hebei,Chengde,Not Found
2239,China,Sichuan,Chengdu,Not Found
2240,China,Sichuan,Chongzhou,Not Found
2241,China,Guizhou,Chishui basin,Not Found
2242,-,-,-,
2243,China,Zhejiang,Cixi,Not Found
2244,China,Yunnan,Chuxiong,Not Found
2245,China,Anhui,滁州市,Not Found
2246,China,Jiangsu,Dafeng,Not Found
2247,China,Heilongjiang,Daqing,Not Found
2248,China,Shanxi,Datong,Not Found
2249,China,Sichuan,Dazhou,Not Found
2250,China,Liaoning,Dandong,Not Found
2251,China,Hubei,Dangyang,Not Found
2252,China,Hubei,Danjiangkou,Not Found
2253,China,Hainan,Danzhou,Not Found
2254,China,Jiangsu,Danyang,Not Found
2255,China,Henan,Dengfeng,Not Found
2256,China,Liaoning,Dengta,Not Found
2257,China,Henan,Dengzhou,Not Found
2258,-,-,-,
2259,China,Shandong,Dezhou,Not Found
2260,China,Hubei,Daye,Not Found
2261,China,Hunan,Zhangjiajie,Not Found
2262,China,Jilin,Dehui,Not Found
2263,China,Liaoning,Donggang,Not Found
2264,China,Hainan,Dongfang,Not Found
2265,China,Jiangsu,Dongtai,Not Found
2266,China,Gansu,Dingxi,Not Found
2267,China,Hebei,Dingzhou,Not Found
2268,China,Hubei,Enshi,Not Found
2269,China,Guizhou,Duyun,Not Found
2270,China,Hubei,Ezhou,Not Found
2271,China,Inner Mongolia,Erenhot,Not Found
2272,China,Zhejiang,Dongyang,Not Found
2273,China,Shandong,Dongying,Not Found
2274,China,Jilin,Dunhua,Not Found
2275,-,-,-,
2276,China,Zhejiang,Fenghua,Not Found
2277,China,Shandong,Feicheng,Not Found
2278,China,Liaoning,Fengcheng,Not Found
2279,China,Fujian,Fuding,Not Found
2280,China,Heilongjiang,Fujin,Not Found
2281,China,Shanxi,Fenyang,Not Found
2282,China,Fujian,Fu'an,Not Found
2283,China,Guangdong,Foshan,Not Found
2284,China,Inner Mongolia,Fengzhen,Not Found
2285,-,-,-,
2286,China,Fujian,Fuzhou,Not Found
2287,China,Jiangxi,Fuzhou,Not Found
2288,China,Zhejiang,Fuyang,Not Found
2289,China,Anhui,Fuyang,Not Found
2290,China,Liaoning,Fuxin,Not Found
2291,China,Liaoning,Fushun,Not Found
2292,China,Guizhou,Fuquan,Not Found
2293,-,-,-,
2294,China,Yunnan,Gejiu,Not Found
2295,China,Jiangsu,Gaoyou,Not Found
2296,China,Guangdong,Gaoyao,Not Found
2297,China,Shanxi,Gaoping,Not Found
2298,China,Shandong,Gaomi,Not Found
2299,China,Jiangxi,Ganzhou,Not Found
2300,China,Hebei,Gaocheng,Not Found
2301,-,-,-,
2302,China,Guangxi,Guilin,Not Found
2303,China,Guizhou,Guiyang,Not Found
2304,-,-,-,
2305,China,Ningxia Hui,Guyuan,Not Found
2306,China,Henan,Gushi,Not Found
2307,China,Jilin,Gongzhuling,Not Found
2308,China,Sichuan,Guanghan,Not Found
2309,China,Guangdong,Guangzhou,Not Found
2310,China,Sichuan,Dujiangyan,Not Found
2311,China,Shaanxi,Hanzhong,Not Found
2312,China,Guangxi,Hechi,Not Found
2313,China,Henan,Hebi,Not Found
2314,-,-,-,
2315,China,Heilongjiang,Hegang,Not Found
2316,China,Hebei,Hejian,Not Found
2317,China,Shanxi,Hejin,Not Found
2318,China,Jilin,Helong,Not Found
2319,China,Liaoning,Haicheng,Not Found
2320,China,Hainan,Haikou,Not Found
2321,China,Heilongjiang,Hailin,Not Found
2322,China,Heilongjiang,Hailun,Not Found
2323,China,Jiangsu,Haimen,Not Found
2324,China,Zhejiang,Haining,Not Found
2325,China,Shandong,Haiyang,Not Found
2326,-,-,-,
2327,China,Xinjiang,Kumul,Not Found
2328,China,Hebei,Handan,Not Found
2329,China,Hubei,Hanchuan,Not Found
2330,China,Zhejiang,Hangzhou,Not Found
2331,China,Shanxi,Houma,霍馬
2332,-,-,-,
2333,China,Hunan,Hongjiang,Not Found
2334,China,Hubei,Honghu,Not Found
2335,China,Jiangsu,Huai'an,Not Found
2336,China,Anhui,Huainan,Not Found
2337,China,Hunan,Huaihua,Not Found
2338,China,Anhui,Huaibei,Not Found
2339,China,Jilin,Huadian,Not Found
2340,China,Guangxi,Heshan,Not Found
2341,-,-,-,
2342,China,Hebei,Hengshui,Not Found
2343,China,Inner Mongolia,Hohhot,Not Found
2344,China,Guangdong,Heyuan,Not Found
2345,China,Shandong,Heze,Not Found
2346,China,Henan,Huixian,Not Found
2347,China,Guangdong,Huazhou,Not Found
2348,China,Jilin,Hunchun,Not Found
2349,China,Jilin,Baishan,Not Found
2350,China,Hebei,Luquan,Not Found
2351,China,Anhui,Huangshan,Not Found
2352,China,Guangdong,Huizhou,Not Found
2353,China,Hubei,Huangshi,Not Found
2354,China,Hubei,Huanggang,Not Found
2355,China,Hebei,Huanghua,Not Found
2356,China,Sichuan,Huaying,Not Found
2357,-,-,-,
2358,China,Sichuan,Jianyang,Not Found
2359,China,Fujian,Jianyang,Not Found
2360,China,Jilin,Jiaohe,Not Found
2361,-,-,-,
2362,-,-,-,
2363,-,-,-,
2364,China,Jiangsu,Jiangyin,Not Found
2365,China,Zhejiang,Jiangshan,Not Found
2366,China,Fujian,Jian'ou,Not Found
2367,China,Sichuan,Jiangyou,Not Found
2368,China,Jiangxi,Ji'an,Not Found
2369,-,-,-,
2370,China,Zhejiang,Huzhou,Not Found
2371,China,Shanxi,Huozhou,Not Found
2372,China,Inner Mongolia,Ordos,Not Found
2373,China,Zhejiang,Jinhua,Not Found
2374,China,Hubei,Jīngzhōu City,Not Found
2375,China,Shandong,Jining,Not Found
2376,China,Fujian,Jinjiang,Not Found
2377,China,Hunan,Jinshi,Not Found
2378,-,-,-,
2379,China,Jiangsu,Jingjiang,Not Found
2380,China,Hubei,Jingmen,Not Found
2381,China,Gansu,Jinchang,Not Found
2382,China,Shandong,Jinan,Not Found
2383,China,Shandong,Jimo,Not Found
2384,China,Shanxi,Jincheng,Not Found
2385,China,Jiangxi,Jingdezhen,Not Found
2386,-,-,-,
2387,China,Zhejiang,Jiaxing,Not Found
2388,China,Shanxi,Jiexiu,Not Found
2389,China,Anhui,Jieshou,Not Found
2390,China,Jilin,Jilin,Not Found
2391,China,Xinjiang,Karamay,Not Found
2392,China,Liaoning,Kaiyuan,Not Found
2393,China,Guizhou,Kaili,Not Found
2394,China,Henan,Kaifeng,Not Found
2395,China,Jiangsu,Jurong,Not Found
2396,China,Henan,Jiyuan,Not Found
2397,China,Hebei,Jizhou,Not Found
2398,China,Henan,Weihui,Not Found
2399,-,-,-,
2400,China,Jiangxi,Jiujiang,Not Found
2401,China,Hunan,Jishou,Not Found
2402,China,Inner Mongolia,Tongliao,Not Found
2403,China,Liaoning,Jinzhou,Not Found
2404,China,Shanxi,Jinzhong,Not Found
2405,China,Liaoning,Huludao,Not Found
2406,China,Liaoning,Linghai,Not Found
2407,China,Hebei,Jinzhou,Not Found
2408,China,Jiangsu,Jintan,Not Found
2409,China,Sichuan,Leshan,Not Found
2410,China,Hunan,Leiyang,Not Found
2411,China,Hunan,Lengshuijiang,Not Found
2412,China,Shandong,Leling,Not Found
2413,China,Jiangxi,Leping,Not Found
2414,-,-,-,
2415,China,Hubei,Laohekou,Not Found
2416,China,Gansu,Lanzhou,Not Found
2417,China,Guangdong,Lechang,Not Found
2418,China,Sichuan,Langzhong,Not Found
2419,China,Hebei,Langfang,Not Found
2420,China,Shandong,Láiwú,Not Found
2421,China,Shandong,Laixi,Not Found
2422,China,Shandong,Laiyang,Not Found
2423,-,-,-,
2424,China,Xinjiang,Kuitun,Not Found
2425,China,Xinjiang,喀什市قەشقەر‎,Not Found
2426,China,Xinjiang,Korla,Not Found
2427,China,Shandong,Linyi,Not Found
2428,China,Gansu,Linxia,Not Found
2429,China,Henan,Linzhou,Not Found
2430,China,Hunan,Linxiang,Not Found
2431,China,Hunan,Liuyang,Not Found
2432,China,Guangxi,Liuzhou,Not Found
2433,China,Zhejiang,Lishui,Not Found
2434,China,Jilin,Longjing,Not Found
2435,China,Shandong,Longkou,Not Found
2436,China,Fujian,Longhai,Not Found
2437,China,Jiangsu,Liyang,Not Found
2438,China,Fujian,Longyan,Not Found
2439,China,Zhejiang,Longquan,Not Found
2440,China,Gansu,Longnan,Not Found
2441,China,Guangdong,Lianzhou,Not Found
2442,China,Hunan,Lianyuan,Not Found
2443,China,Jiangsu,Lianyungang,Not Found
2444,China,Shandong,Liacheng,Not Found
2445,China,Liaoning,Liaoyang,Not Found
2446,China,Guangdong,Lianjiang,Not Found
2447,China,Hunan,Liling,Not Found
2448,China,Yunnan,Lincang,Not Found
2449,China,Zhejiang,Lin'an,Not Found
2450,China,Shanxi,Linfen,Not Found
2451,China,Jilin,Liaoyuan,Not Found
2452,China,Hubei,Lichuan,Not Found
2453,China,Ningxia Hui,Lingwu,Not Found
2454,China,Henan,Lingbao,Not Found
2455,China,Hunan,Yongzhou,Not Found
2456,China,Henan,Ruzhou,Not Found
2457,China,Zhejiang,Linhai,Not Found
2458,China,Liaoning,Lingyuan,Not Found
2459,China,Shandong,Linqing,Not Found
2460,-,-,-,
2461,China,Guangdong,Meizhou,Not Found
2462,China,Henan,Mengzhou,Not Found
2463,China,Hunan,Miluo,Not Found
2464,China,Sichuan,Mianzhu,Not Found
2465,China,Sichuan,Mianyang,Not Found
2466,China,Heilongjiang,Mishan,Not Found
2467,China,Henan,Xinmi,Not Found
2468,China,Hunan,Loudi,Not Found
2469,China,Anhui,Lu'an,Not Found
2470,China,Shanxi,Lucheng,Not Found
2471,China,Guangdong,Lufeng,Not Found
2472,China,Shanxi,Lüliang,Not Found
2473,China,Henan,Luohe,Not Found
2474,China,Henan,Luoyang,Not Found
2475,China,Guizhou,Liupanshui,Not Found
2476,China,Hubei,Macheng,Not Found
2477,China,Sichuan,Luzhou,Not Found
2478,China,Anhui,Ma'anshan,Not Found
2479,China,Fujian,Ningde,Not Found
2480,-,-,-,
2481,China,Zhejiang,Ningbo,Not Found
2482,China,Zhejiang,Pinghu,Not Found
2483,China,Henan,Pingdingshan,Not Found
2484,China,Shandong,Pingdu,Not Found
2485,China,Sichuan,Pengzhou,Not Found
2486,China,Shandong,Penglai,Not Found
2487,China,Sichuan,Panzhihua,Not Found
2488,China,Liaoning,Panjin,Not Found
2489,China,Jilin,Panshi,Not Found
2490,China,Jiangsu,Nanjing,Not Found
2491,China,Hebei,Nangong,Not Found
2492,China,Jiangxi,Nanchang,Not Found
2493,China,Fujian,Nan'an,Not Found
2494,China,Sichuan,Nanchong,Not Found
2495,China,Heilongjiang,Muling,Not Found
2496,China,Sichuan,Neijiang,Not Found
2497,China,Jiangsu,Nantong,Not Found
2498,China,Guangdong,Nanxiong,Not Found
2499,China,Henan,Nanyang,Not Found
2500,-,-,-,
2501,China,Fujian,Nanping,Not Found
2502,-,-,-,
2503,China,Ningxia Hui,Qingtongxia,Not Found
2504,China,Jiangsu,Qidong,Not Found
2505,China,Shandong,Qingdao,Not Found
2506,China,Heilongjiang,Qiqihar,Not Found
2507,China,Hainan,Qionghai,Not Found
2508,China,Sichuan,Qionglai,Not Found
2509,China,Heilongjiang,Qitaihe,Not Found
2510,China,Guangdong,Qingyuan,Not Found
2511,China,Gansu,Qingyang,Not Found
2512,China,Henan,Qinyang,Not Found
2513,China,Guizhou,Qingzhen,Not Found
2514,-,-,-,
2515,China,Shandong,Qingzhou,Not Found
2516,China,Guangxi,Pingxiang,Not Found
2517,-,-,-,
2518,China,Jiangsu,Pizhou,Not Found
2519,China,Gansu,Pingliang,Not Found
2520,China,Hebei,Qian'an,Not Found
2521,China,Hubei,Qianjiang,Not Found
2522,China,Fujian,Putian,Not Found
2523,China,Hubei,Chibi,奇比
2524,China,Hunan,Shaoyang,Not Found
2525,China,Fujian,Shaowu,Not Found
2526,China,Zhejiang,Shaoxing,Not Found
2527,China,Guangdong,Shantou,Not Found
2528,China,Guangdong,Shaoguan,Not Found
2529,-,-,-,
2530,China,Hebei,Shengzhou,Not Found
2531,China,Zhejiang,Shengzhou,Not Found
2532,China,Hebei,Shahe,Not Found
2533,China,Heilongjiang,Shangzhi,Not Found
2534,China,Zhejiang,Shangyu,Not Found
2535,China,Shaanxi,Shangluo,Not Found
2536,China,Henan,Shangqiu,Not Found
2537,China,Jiangxi,Shangrao,Not Found
2538,China,Yunnan,Ruili,Not Found
2539,-,-,-,
2540,China,Zhejiang,Rui'an,Not Found
2541,-,-,-,
2542,China,Jiangsu,Rugao,Not Found
2543,China,Shandong,Rongcheng,Not Found
2544,China,Fujian,Sanming,Not Found
2545,China,Henan,Sanmenxia,Not Found
2546,China,Hebei,Sanhe,Not Found
2547,China,Shandong,Rushan,Not Found
2548,China,Shandong,Qufu,Not Found
2549,China,Fujian,Quanzhou,Not Found
2550,China,Shandong,Qixia,Not Found
2551,China,Shandong,Rizhao,Not Found
2552,China,Hebei,Renqiu,Not Found
2553,China,Guizhou,Renhuai,Not Found
2554,China,Zhejiang,Quzhou,Not Found
2555,China,Jiangsu,Taicang,Not Found
2556,China,Shanxi,Taiyuan,Not Found
2557,China,Jiangsu,Taixing,Not Found
2558,China,Zhejiang,Taizhou,Not Found
2559,China,Jiangsu,Taizhou,Not Found
2560,China,Hebei,Tangshan,Not Found
2561,China,Heilongjiang,Suihua,Not Found
2562,China,Hubei,Suizhou,Not Found
2563,China,Jiangsu,Suqian,Not Found
2564,China,Anhui,Suzhou,Not Found
2565,China,Xinjiang,Qoqek / Tacheng,Not Found
2566,China,Shandong,Tai'an,泰安
2567,China,Jilin,Shulan,Not Found
2568,China,Heilongjiang,Shuangyashan,Not Found
2569,China,Yunnan,Pu'er,Not Found
2570,China,Jilin,Siping,Not Found
2571,China,Hubei,Songzi,Not Found
2572,-,-,-,
2573,China,Xinjiang,Shihezi,Not Found
2574,China,Sichuan,Shifang,Not Found
2575,China,Hubei,Shishou,Not Found
2576,China,Shandong,Shouguang,Not Found
2577,China,Hubei,Shiyan,Not Found
2578,China,Ningxia Hui,Shizuishan,Not Found
2579,-,-,-,
2580,-,-,-,
2581,China,Zhejiang,Wenling,Not Found
2582,China,Hainan,Wenchang,Not Found
2583,China,Shandong,Weifang,Not Found
2584,China,Shandong,Weihai,Not Found
2585,China,Shaanxi,Weinan,Not Found
2586,China,Hainan,Wanning,Not Found
2587,China,Sichuan,Wanyuan,Not Found
2588,China,Xinjiang,Ürümqi,Not Found
2589,China,Liaoning,Wafangdian,Not Found
2590,China,Xinjiang,Turpan,Not Found
2591,China,Inner Mongolia,Ulanqab,Not Found
2592,China,Jilin,Tumen,Not Found
2593,China,Zhejiang,Tongxiang,Not Found
2594,China,Hainan,Wuzhishan,Not Found
2595,China,Guizhou,Tongren,Not Found
2596,China,Anhui,Tongling,Not Found
2597,China,Jilin,Tonghua,Not Found
2598,-,-,-,
2599,China,Shaanxi,Tongchuan,Not Found
2600,China,Anhui,Tongcheng,Not Found
2601,China,Heilongjiang,Tieli,Not Found
2602,China,Liaoning,Tieling,Not Found
2603,-,-,-,
2604,China,Gansu,Tianshui,Not Found
2605,China,Hubei,Tianmen,Not Found
2606,China,Tianjin,Tianjin,Not Found
2607,China,Anhui,Tianchang,Not Found
2608,China,Inner Mongolia,Xilin Hot,Not Found
2609,China,Hebei,Gaobeidian,Not Found
2610,-,-,-,
2611,China,Tibet Autonomous Region,Shigatse,Not Found
2612,-,-,-,
2613,China,Shaanxi,Xi'an,Not Found
2614,China,Hubei,Xiantao,Not Found
2615,China,Hubei,Xianning,Not Found
2616,China,Hubei,Xiaogan,Not Found
2617,China,Shaanxi,Xianyang,Not Found
2618,China,Shanxi,Xiaoyi,Not Found
2619,China,Henan,Xiangcheng,Not Found
2620,China,Hubei,Xiangyang,Not Found
2621,China,Hunan,Xiangtan,Not Found
2622,China,Hunan,Xiangxiang,Not Found
2623,China,Fujian,Xiamen,Not Found
2624,-,-,-,
2625,China,Gansu,Wuwei,Not Found
2626,-,-,-,
2627,China,Anhui,Wuhu,Not Found
2628,-,-,-,
2629,China,Hubei,Wuhan,Not Found
2630,China,Heilongjiang,Wuchang,Not Found
2631,China,Hebei,Wu'an,Not Found
2632,China,Zhejiang,Wenzhou,Not Found
2633,China,Hunan,Wugang,Not Found
2634,-,-,-,
2635,China,Hubei,Yicheng,Not Found
2636,China,Jiangxi,Yichun,Not Found
2637,China,Hubei,Yidu,Not Found
2638,China,Sichuan,Yibin,Not Found
2639,China,Shandong,Yantai,Not Found
2640,-,-,-,
2641,China,Jilin,Yanji,Not Found
2642,China,Ningxia Hui,Wuzhong,Not Found
2643,China,Zhejiang,Yiwu,Not Found
2644,China,Jiangxi,Yingtan,Not Found
2645,China,Guangdong,Yingde,Not Found
2646,China,Hubei,Yingcheng,Not Found
2647,China,Liaoning,Dashiqiao,Not Found
2648,China,Liaoning,Yingkou,Not Found
2649,China,Henan,Yima,Not Found
2650,China,Shanxi,Yongji,Not Found
2651,China,Zhejiang,Yongkang,Not Found
2652,China,Henan,Yongcheng,Not Found
2653,China,Fujian,Yong'an,Not Found
2654,China,Hunan,Yiyang,Not Found
2655,China,Jiangsu,Yixing,Not Found
2656,China,Zhejiang,Yueqing,Not Found
2657,China,Shandong,Yucheng,Not Found
2658,China,Shanxi,Yuanping,Not Found
2659,China,Hunan,Yuanjiang,Not Found
2660,-,-,-,
2661,China,Guizhou,Xingyi,Not Found
2662,China,Henan,Xingyang,Not Found
2663,China,Qinghai,Xining,Not Found
2664,China,Liaoning,Pulandian,Not Found
2665,China,Liaoning,Xingcheng,Not Found
2666,China,Jiangsu,Xinghua,Not Found
2667,China,Guangdong,Xingning,Not Found
2668,-,-,-,
2669,China,Hebei,Xingtai,Not Found
2670,China,Henan,Xinzheng,Not Found
2671,China,Jiangxi,Xinyu,Not Found
2672,China,Jiangsu,Xinyi,Not Found
2673,China,Liaoning,Xinmin,Not Found
2674,China,Hebei,辛集市,Not Found
2675,China,Hebei,Xinle,Not Found
2676,China,Shandong,Xintai,Not Found
2677,China,Henan,Xinxiang,Not Found
2678,China,Guangdong,Xinyi,Not Found
2679,China,Henan,Xinyang,Not Found
2680,China,Henan,Xuchang,Not Found
2681,China,Yunnan,Xuanwei,Not Found
2682,China,Anhui,Xuancheng,Not Found
2683,China,Shanxi,Yangquan,Not Found
2684,China,Guangdong,Yangjiang,Not Found
2685,China,Guangdong,Yangchun,Not Found
2686,China,Jiangsu,Yangzhou,Not Found
2687,China,Jiangsu,Yangzhong,Not Found
2688,China,Shaanxi,Yan'an,Not Found
2689,China,Jiangsu,Xuzhou,Not Found
2690,-,-,-,
2691,China,Jiangsu,Yancheng,Not Found
2692,China,Hebei,Zhuozhou,Not Found
2693,China,Henan,Zhumadian,Not Found
2694,China,Zhejiang,Zhuji,Not Found
2695,China,Hunan,Zhuzhou,Not Found
2696,China,Liaoning,Zhuanghe,Not Found
2697,China,Zhejiang,Zhoushan,Not Found
2698,China,Guangdong,Zhuhai,Not Found
2699,China,Shandong,Zucheng,Not Found
2700,China,Sichuan,Zigong,Not Found
2701,China,Shandong,Zibo,Not Found
2702,China,Hunan,Zixing,Not Found
2703,China,Shandong,Zoucheng,Not Found
2704,China,Guizhou,Zunyi City,Not Found
2705,China,Hubei,Guangshui,Not Found
2706,China,Hubei,Wuxue,Not Found
2707,China,Shanxi,Xinzhou,Not Found
2708,China,Shanxi,Shuozhou,Not Found
2709,China,Hunan,Yueyang City,Not Found
2710,China,Guangxi,Yulin,Not Found
2711,China,Shaanxi,Yulin,Not Found
2712,China,Shanxi,Yuncheng,Not Found
2713,China,Gansu,Yumen,Not Found
2714,China,Jilin,Yushu,Not Found
2715,China,Henan,Yuzhou,Not Found
2716,China,Yunnan,Yuxi,Not Found
2717,China,Zhejiang,Yuyao,Not Found
2718,China,Shandong,Zaoshuang,Not Found
2719,China,Hubei,Zaoyang,Not Found
2720,China,Jiangsu,Zhangjiagang,Not Found
2721,China,Fujian,Zhangping,Not Found
2722,China,Hebei,Zhangjiakou,Not Found
2723,China,Fujian,Zhangzhou,Not Found
2724,China,Gansu,Zhangye,Not Found
2725,China,Shandong,Zhangqiu,Not Found
2726,China,Guangdong,Zhaoqing,Not Found
2727,China,Heilongjiang,Zhaodong,Not Found
2728,China,Guangdong,Zhanjiang,Not Found
2729,China,Shandong,Zhaoyuan,Not Found
2730,China,Jiangsu,Zhenjiang,Not Found
2731,China,Henan,Zhengzhou,Not Found
2732,China,Hubei,Zhijiang,Not Found
2733,China,Hubei,Zhongxiang,Not Found
2734,China,Henan,Zhoukou,Not Found
2735,China,Guangdong,Zhongshan,Not Found
2736,China,Sichuan,Meishan,Not Found
2737,China,Sichuan,Ziyang,Not Found
2738,China,Sichuan,Guang'an,Not Found
2739,China,Sichuan,Guangyuan,Not Found
2740,China,Sichuan,Bazhong,Not Found
2741,China,Sichuan,Suining,Not Found
2742,China,Qinghai,Delingha,Not Found
2743,China,Sichuan,Deyang,Not Found
2744,China,Ningxia Hui,Yinchuan,Not Found
2745,China,Ningxia Hui,Zhongwei,Not Found
2746,-,-,-,
2747,China,Gansu,Hezuo,Not Found
2748,-,-,-,
2749,China,Fujian,Wuyishan,Not Found
2750,China,Fujian,Shishi,Not Found
2751,China,Anhui,Chizhou,Not Found
2752,China,Anhui,Bozhou,Not Found
2753,China,Hunan,Shaoshan,Not Found
2754,China,Jiangsu,Changshu,Not Found
2755,China,Jiangsu,Suzhou,Not Found
2756,China,Henan,Wugang,Not Found
2757,China,Henan,Puyang,Not Found
2758,-,-,-,
2759,China,Jilin,Linjiang,Not Found
2760,China,Jilin,Songyuan,Not Found
2761,China,Guangdong,Leizhou,Not Found
2762,China,Guangdong,Shanwei,Not Found
2763,-,-,-,
2764,China,Shandong,Tengzhou,Not Found
2765,China,Shandong,Laizhou,Not Found
2766,Philippines,Maguindanao,Cotabato City,Not Found
2767,Australia,Tasmania,Launceston,朗瑟斯頓
2768,Namibia,Otjozondjupa Region,Otjiwarongo,奧吉瓦隆哥
2769,Namibia,Otjozondjupa Region,Grootfontein,格魯芳田
2770,Namibia,Oshikoto Region,Tsumeb,促美布
2771,Australia,Queensland,Bundaberg,班達柏
2772,Panama,Chiriquí,David,大衛
2773,Morocco,-,-,
2774,Canada,Quebec,Lévis,列維斯
2775,Uzbekistan,Sirdarya Province,Gulistan,古利斯坦
2776,Uzbekistan,Samarkand Province,Samarkand,Not Found
2777,Uzbekistan,Qashqadaryo Province,Qarshi,Not Found
2778,Uzbekistan,Khorezm Province,Urgench,Not Found
2779,Uzbekistan,Republic of Karakalpakstan,Nukus,奴庫斯
2780,Uzbekistan,Fergana Province,Fergana,非加納
2781,Uzbekistan,Namangan Province,Namangan,納曼干城
2782,Uzbekistan,Surxondaryo Province,Termez,Not Found
2783,India,Kerala,Thiruvananthapuram,Not Found
2784,India,Tamil Nadu,Tirunelveli,提魯內爾維利
2785,India,Tamil Nadu,Tuticorin,土提科林
2786,India,Kerala,Kollam,科藍(基龍)
2787,-,-,-,
2788,India,Tamil Nadu,Coimbatore,孔巴托
2789,India,Tamil Nadu,Tiruppur,提魯浦
2790,India,Pondicherry,Pondicherry,朋迪治里
2791,India,Karnataka,Mangalore,曼加羅
2792,India,Karnataka,Shivamogga,Not Found
2793,-,-,-,
2794,India,Karnataka,Raichur,來楚爾
2795,-,-,-,
2796,India,Karnataka,Vijayapura,Not Found
2797,India,Maharashtra,Sangli,Not Found
2798,India,Andhra Pradesh,Kakinada,卡基納達
2799,-,-,-,
2800,India,Karnataka,Kalaburagi,Not Found
2801,India,-,-,
2802,-,-,-,
2803,India,Maharashtra,Solapur,Not Found
2804,India,Andhra Pradesh,Visakhapatnam,Not Found
2805,-,-,-,
2806,-,-,-,
2807,-,-,-,
2808,India,Maharashtra,Ahmadnagar,亞美德納加
2809,India,Maharashtra,Bhiwandi,比萬迪
2810,India,Odisha,Puri,普里
2811,India,Maharashtra,Aurangabad,奧藍加[巴德]
2812,India,Maharashtra,Nashik,Not Found
2813,India,Odisha,Cuttack,刻塔克
2814,India,Maharashtra,Malegaon,馬勒岡
2815,India,Maharashtra,Akola,阿科拉
2816,India,Maharashtra,Dhule,杜雷(杜利亞)
2817,-,-,-,
2818,-,-,-,
2819,India,Madhya Pradesh,Burhanpur,布漢舖
2820,India,Gujarat,Porbandar,波爾本達
2821,India,Gujarat,Bhavnagar,巴夫納革
2822,India,Madhya Pradesh,Khandwa,坎德瓦
2823,India,Chhattisgarh,Bilaspur,比拉斯浦
2824,-,-,-,
2825,India,West Bengal,Kharagpur,卡拉浦
2826,India,West Bengal,Kolkata,加爾各答
2827,India,Madhya Pradesh,Indore,印多爾
2828,India,Gujarat,Ahmedabad,亞美達巴得
